Fecha y Hora (dd-mm-yy hh:mm),Fecha (yymmdd),Hora (hhmm),Registros Totales,Registros Validados,Registros Preliminares,Registros No Validados
07-07-12 01:00,07-07-12,01:00,0,,,
07-07-12 02:00,07-07-12,02:00,0,,,
07-07-12 03:00,07-07-12,03:00,0,,,
07-07-12 04:00,07-07-12,04:00,0,,,
07-07-12 05:00,07-07-12,05:00,0,,,
07-07-12 06:00,07-07-12,06:00,0,,,
07-07-12 07:00,07-07-12,07:00,0,,,
07-07-12 08:00,07-07-12,08:00,0,,,
07-07-12 09:00,07-07-12,09:00,0,,,
07-07-12 10:00,07-07-12,10:00,0,,,
07-07-12 11:00,07-07-12,11:00,0,,,
07-07-12 12:00,07-07-12,12:00,0,,,
07-07-12 13:00,07-07-12,13:00,0,,,
07-07-12 14:00,07-07-12,14:00,0,,,
07-07-12 15:00,07-07-12,15:00,0,,,
07-07-12 16:00,07-07-12,16:00,33.71,,,33.71
07-07-12 17:00,07-07-12,17:00,53.95,,,53.95
07-07-12 18:00,07-07-12,18:00,963.999,,,963.999
07-07-12 19:00,07-07-12,19:00,674.298,,,674.298
07-07-12 20:00,07-07-12,20:00,163.2,,,163.2
07-07-12 21:00,07-07-12,21:00,482.1,,,482.1
07-07-12 22:00,07-07-12,22:00,334.4,,,334.4
07-07-12 23:00,07-07-12,23:00,471.3,,,471.3
08-07-12 00:00,08-07-12,00:00,621.698,,,621.698
08-07-12 01:00,08-07-12,01:00,511.1,,,511.1
08-07-12 02:00,08-07-12,02:00,445.7,,,445.7
08-07-12 03:00,08-07-12,03:00,317.6,,,317.6
08-07-12 04:00,08-07-12,04:00,667.599,,,667.599
08-07-12 05:00,08-07-12,05:00,31.02,,,31.02
08-07-12 06:00,08-07-12,06:00,25.62,,,25.62
08-07-12 07:00,08-07-12,07:00,24.95,,,24.95
08-07-12 08:00,08-07-12,08:00,20.9,,,20.9
08-07-12 09:00,08-07-12,09:00,23.6,,,23.6
