FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados
120707;100;;;
120707;200;;;
120707;300;;;
120707;400;;;
120707;500;;;
120707;600;;;
120707;700;;;
120707;800;;;
120707;900;;;
120707;1000;;;
120707;1100;;;
120707;1200;;;
120707;1300;;;
120707;1400;;;
120707;1500;;;
120707;1600;;;33,71
120707;1700;;;53,95
120707;1800;;;963,999
120707;1900;;;674,298
120707;2000;;;163,2
120707;2100;;;482,1
120707;2200;;;334,4
120707;2300;;;471,3
120708;0;;;621,698
120708;100;;;511,1
120708;200;;;445,7
120708;300;;;317,6
120708;400;;;667,599
120708;500;;;31,02
120708;600;;;25,62
120708;700;;;24,95
120708;800;;;20,9
120708;900;;;23,6
120708;1000;;;36,74
120708;1100;;;44,5
120708;1200;;;41,11
120708;1300;;;25,95
120708;1400;;;24,94
120708;1500;;;27,63
120708;1600;;;31
120708;1700;;;411,299
120708;1800;;;76,21
120708;1900;;;802,998
120708;2000;;;102,5
120708;2100;;;135,5
120708;2200;;;71,47
120708;2300;;;95,7
120709;0;;;115,3
120709;100;;;701,299
120709;200;;;49,9
120709;300;;;43,83
120709;400;;;18,2
120709;500;;;18,2
120709;600;;;18,88
120709;700;;;13,49
120709;800;;;14,16
120709;900;;;28,33
120709;1000;;;24,95
120709;1100;;;26,97
120709;1200;;;38,43
120709;1300;;;31,02
120709;1400;;;33,04
120709;1500;;;33,71
120709;1600;;;377,599
120709;1700;;;28,99
120709;1800;;;28,99
120709;1900;;;39,78
120709;2000;;;45,86
120709;2100;;;39,79
120709;2200;;;35,74
120709;2300;;;30,35
120710;0;;;15,51
120710;100;;;8,09
120710;200;;;876,999
120710;300;;;876,999
120710;400;;;5,396
120710;500;;;6,071
120710;600;;;674,599
120710;700;;;15,18
120710;800;;;18,22
120710;900;;;17,54
120710;1000;;;16,19
120710;1100;;;18,22
120710;1200;;;26,31
120710;1300;;;12,14
120710;1400;;;17,54
120710;1500;;;28,33
120710;1600;;;32,37
120710;1700;;;47,87
120710;1800;;;100,5
120710;1900;;;72,84
120710;2000;;;99,1
120710;2100;;;42,49
120710;2200;;;36,42
120710;2300;;;25,97
120711;0;;;20,91
120711;100;;;16,87
120711;200;;;14,84
120711;300;;;12,82
120711;400;;;21,59
120711;500;;;12,81
120711;600;;;24,28
120711;700;;;24,28
120711;800;;;116
120711;900;;;89
120711;1000;;;49,22
120711;1100;;;26,29
120711;1200;;;943,999
120711;1300;;;875,998
120711;1400;;;6,738
120711;1500;;;14,15
120711;1600;;;21,56
120711;1700;;;31,67
120711;1800;;;55,27
120711;1900;;;107,9
120711;2000;;;122
120711;2100;;;550,5
120711;2200;;;445,1
120711;2300;;;501,1
120712;0;;;348,7
120712;100;;;332,5
120712;200;;;108,6
120712;300;;;31,03
120712;400;;;24,96
120712;500;;;17,54
120712;600;;;16,86
120712;700;;;16,86
120712;800;;;16,19
120712;900;;;21,58
120712;1000;;;22,26
120712;1100;;;18,21
120712;1200;;;26,3
120712;1300;;;24,95
120712;1400;;;27,65
120712;1500;;;25,62
120712;1600;;;22,92
120712;1700;;;34,39
120712;1800;;;109,2
120712;1900;;;112,6
120712;2000;;;58,66
120712;2100;;;35,74
120712;2200;;;39,12
120712;2300;;;384,399
120713;0;;;26,64
120713;100;;;30,35
120713;200;;;350,699
120713;300;;;22,93
120713;400;;;24,95
120713;500;;;24,95
120713;600;;;17,54
120713;700;;;26,98
120713;800;;;22,93
120713;900;;;26,3
120713;1000;;;29,67
120713;1100;;;23,6
120713;1200;;;28,32
120713;1300;;;18,21
120713;1400;;;14,16
120713;1500;;;17,53
120713;1600;;;16,52
120713;1700;;;23,6
120713;1800;;;471,899
120713;1900;;;795,598
120713;2000;;;414,7
120713;2100;;;147,7
120713;2200;;;265
120713;2300;;;329,1
120714;0;;;242,8
120714;100;;;370,9
120714;200;;;345,4
120714;300;;;151,1
120714;400;;;35,08
120714;500;;;29,01
120714;600;;;22,26
120714;700;;;630,699
120714;800;;;701,499
120714;900;;;167,3
120714;1000;;;169,3
120714;1100;;;41,14
120714;1200;;;105,9
120714;1300;;;377,599
120714;1400;;;28,32
120714;1500;;;36,41
120714;1600;;;438,199
120714;1700;;;128,4
120714;1800;;;210,4
120714;1900;;;287,2
120714;2000;;;245,4
120714;2100;;;164,5
120714;2200;;;115
120714;2300;;;654,098
120715;0;;;130,8
120715;100;;;130,8
120715;200;;;205,7
120715;300;;;808,999
120715;400;;;27,65
120715;500;;;55,3
120715;600;;;42,49
120715;700;;;31,02
120715;800;;;56,65
120715;900;;;667,699
120715;1000;;;34,4
120715;1100;;;25,62
120715;1200;;;15,51
120715;1300;;;16,85
120715;1400;;;10,11
120715;1500;;;11,46
120715;1600;;;12,81
120715;1700;;;28,99
120715;1800;;;51,24
120715;1900;;;51,24
120715;2000;;;87
120715;2100;;;104,5
120715;2200;;;50,91
120715;2300;;;26,3
120716;0;;;236
120716;100;;;176
120716;200;;;128,8
120716;300;;;130,8
120716;400;;;26,64
120716;500;;;24,95
120716;600;;;12,14
120716;700;;;14,16
120716;800;;;13,49
120716;900;;;
120716;1000;;;
120716;1100;;;
120716;1200;;;
120716;1300;;;
120716;1400;;;
120716;1500;;;
120716;1600;;;
120716;1700;;;
120716;1800;;;
120716;1900;;;
120716;2000;;;
120716;2100;;;
120716;2200;;;
120716;2300;;;
120717;0;;;
120717;100;;;
120717;200;;;
120717;300;;;
120717;400;;;
120717;500;;;
120717;600;;;
120717;700;;;
120717;800;;;999
120717;900;;;999
120717;1000;;;23,64
120717;1100;;;29,02
120717;1200;;;50,58
120717;1300;;;377,599
120717;1400;;;29,66
120717;1500;;;33,02
120717;1600;;;559,399
120717;1700;;;49,87
120717;1800;;;122
120717;1900;;;546,1
120717;2000;;;288,6
120717;2100;;;329,7
120717;2200;;;510,4
120717;2300;;;329,7
120718;0;;;178
120718;100;;;223,9
120718;200;;;299,4
120718;300;;;279,2
120718;400;;;153,8
120718;500;;;546,299
120718;600;;;42,49
120718;700;;;72,84
120718;800;;;43,16
120718;900;;;34,39
120718;1000;;;24,95
120718;1100;;;29,67
120718;1200;;;42,14
120718;1300;;;41,8
120718;1400;;;33,71
120718;1500;;;28,32
120718;1600;;;26,29
120718;1700;;;360,699
120718;1800;;;694,398
120718;1900;;;55,28
120718;2000;;;60,68
120718;2100;;;124,7
120718;2200;;;539,399
120718;2300;;;25,28
120719;0;;;24,95
120719;100;;;13,48
120719;200;;;18,2
120719;300;;;15,51
120719;400;;;15,51
120719;500;;;19,55
120719;600;;;14,16
120719;700;;;22,93
120719;800;;;26,3
120719;900;;;26,3
120719;1000;;;26,97
120719;1100;;;49,89
120719;1200;;;35,06
120719;1300;;;39,1
120719;1400;;;37,75
120719;1500;;;33,04
120719;1600;;;31,69
120719;1700;;;39,78
120719;1800;;;137,5
120719;1900;;;200,9
120719;2000;;;132,1
120719;2100;;;583,198
120719;2200;;;388,4
120719;2300;;;279,8
120720;0;;;251,5
120720;100;;;85
120720;200;;;862,998
120720;300;;;81,6
120720;400;;;63,4
120720;500;;;687,898
120720;600;;;445,099
120720;700;;;52,6
120720;800;;;882,998
120720;900;;;110,6
120720;1000;;;83,6
120720;1100;;;1000
120720;1200;;;108,6
120720;1300;;;741,598
120720;1400;;;17,53
120720;1500;;;28,99
120720;1600;;;31,01
